model,size,test,ratio,Bootstrap,Category,Class,Support,Support %,Prediction,Prediction %,Mean Score,Med Score,∆ Score,Precision,Recall,F1-Score,Accuracy,AUC,Confusion
llama2,7B,phonetic,0.5,21,hateful,No,2277,0.8045936395759717,2475,0.8745583038869258,0.35088339222614845,0.2,0.1045583038869258,0.83,0.9,0.86,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,21,offensive,Yes,878,0.3102473498233215,1582,0.5590106007067138,0.3862544169611307,0.5,0.09996466431095405,0.46,0.84,0.6,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,21,offensive,No,1952,0.6897526501766784,1248,0.44098939929328623,0.3862544169611307,0.5,0.09996466431095405,0.88,0.57,0.69,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,21,toxic,Yes,507,0.17915194346289753,460,0.1625441696113074,0.4648056537102474,0.5,0.12565371024734984,0.49,0.44,0.47,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,21,toxic,No,2323,0.8208480565371025,2370,0.8374558303886925,0.4648056537102474,0.5,0.12565371024734984,0.88,0.9,0.89,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,22,hateful,Yes,553,0.19540636042402826,355,0.1254416961130742,0.35088339222614845,0.2,0.1045583038869258,0.35,0.23,0.28,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,22,hateful,No,2277,0.8045936395759717,2475,0.8745583038869258,0.35088339222614845,0.2,0.1045583038869258,0.83,0.9,0.86,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,22,offensive,Yes,878,0.3102473498233215,1582,0.5590106007067138,0.3862544169611307,0.5,0.09996466431095405,0.46,0.84,0.6,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,22,offensive,No,1952,0.6897526501766784,1248,0.44098939929328623,0.3862544169611307,0.5,0.09996466431095405,0.88,0.57,0.69,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,22,toxic,Yes,507,0.17915194346289753,460,0.1625441696113074,0.4648056537102474,0.5,0.12565371024734984,0.49,0.44,0.47,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,22,toxic,No,2323,0.8208480565371025,2370,0.8374558303886925,0.4648056537102474,0.5,0.12565371024734984,0.88,0.9,0.89,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,23,hateful,Yes,553,0.19540636042402826,355,0.1254416961130742,0.35088339222614845,0.2,0.1045583038869258,0.35,0.23,0.28,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,23,hateful,No,2277,0.8045936395759717,2475,0.8745583038869258,0.35088339222614845,0.2,0.1045583038869258,0.83,0.9,0.86,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,23,offensive,Yes,878,0.3102473498233215,1582,0.5590106007067138,0.3862544169611307,0.5,0.09996466431095405,0.46,0.84,0.6,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,23,offensive,No,1952,0.6897526501766784,1248,0.44098939929328623,0.3862544169611307,0.5,0.09996466431095405,0.88,0.57,0.69,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,23,toxic,Yes,507,0.17915194346289753,460,0.1625441696113074,0.4648056537102474,0.5,0.12565371024734984,0.49,0.44,0.47,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,23,toxic,No,2323,0.8208480565371025,2370,0.8374558303886925,0.4648056537102474,0.5,0.12565371024734984,0.88,0.9,0.89,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,24,hateful,Yes,553,0.19540636042402826,355,0.1254416961130742,0.35088339222614845,0.2,0.1045583038869258,0.35,0.23,0.28,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,24,hateful,No,2277,0.8045936395759717,2475,0.8745583038869258,0.35088339222614845,0.2,0.1045583038869258,0.83,0.9,0.86,0.77,0.69,"[[2048  427]
 [ 229  126]]"
llama2,7B,phonetic,0.5,24,offensive,Yes,878,0.3102473498233215,1582,0.5590106007067138,0.3862544169611307,0.5,0.09996466431095405,0.46,0.84,0.6,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,24,offensive,No,1952,0.6897526501766784,1248,0.44098939929328623,0.3862544169611307,0.5,0.09996466431095405,0.88,0.57,0.69,0.65,0.73,"[[1104  144]
 [ 848  734]]"
llama2,7B,phonetic,0.5,24,toxic,Yes,507,0.17915194346289753,460,0.1625441696113074,0.4648056537102474,0.5,0.12565371024734984,0.49,0.44,0.47,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,phonetic,0.5,24,toxic,No,2323,0.8208480565371025,2370,0.8374558303886925,0.4648056537102474,0.5,0.12565371024734984,0.88,0.9,0.89,0.82,0.78,"[[2088  282]
 [ 235  225]]"
llama2,7B,typo,0.125,0,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,0,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,0,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,0,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,0,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,0,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,1,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,1,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,1,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,1,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,1,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,1,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,2,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,2,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,2,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,2,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,2,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,2,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,3,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,3,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,3,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,3,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,3,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,3,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,4,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,4,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,4,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,4,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,4,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,4,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,5,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,5,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,5,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,5,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,5,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,5,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,6,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,6,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,6,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,6,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,6,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,6,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,7,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,7,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,7,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,7,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,7,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,7,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,8,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,8,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,8,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,8,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,8,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,8,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,9,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,9,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,9,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,9,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,9,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,9,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,10,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,10,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,10,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,10,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,10,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,10,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,11,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,11,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,11,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,11,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,11,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,11,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,12,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,12,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,12,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,12,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,12,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,12,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,13,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,13,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,13,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,13,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,13,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,13,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,14,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,14,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,14,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,14,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,14,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,14,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,15,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,15,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,15,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,15,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,15,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,15,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,16,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,16,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,16,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,16,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,16,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,16,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,17,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,17,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,17,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,17,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,17,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,17,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,18,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,18,hateful,No,2277,0.8045936395759717,2619,0.9254416961130743,0.30416961130742054,0.2,0.06116607773851591,0.82,0.95,0.88,0.79,0.68,"[[2154  465]
 [ 123   88]]"
llama2,7B,typo,0.125,18,offensive,Yes,878,0.3102473498233215,0,0.0,,,,0.0,0.0,0.0,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,18,offensive,No,1952,0.6897526501766784,2830,1.0,,,,0.69,1.0,0.82,0.69,,"[[1952  878]
 [   0    0]]"
llama2,7B,typo,0.125,18,toxic,Yes,507,0.17915194346289753,342,0.12084805653710247,0.4143462897526502,0.5,0.08445229681978798,0.57,0.38,0.46,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,18,toxic,No,2323,0.8208480565371025,2488,0.8791519434628975,0.4143462897526502,0.5,0.08445229681978798,0.87,0.94,0.9,0.84,0.81,"[[2176  312]
 [ 147  195]]"
llama2,7B,typo,0.125,19,hateful,Yes,553,0.19540636042402826,211,0.07455830388692579,0.30416961130742054,0.2,0.06116607773851591,0.42,0.16,0.23,0.79,0.68,"[[2154  465]
 [ 123   88]]"
